 lambda(Angstrom)  Blambda(erg cm-2 s-1 Angstrom-1)
   5.000e+00   3.097e-14
   3.000e+01   1.818e-13
   5.500e+01   7.216e-14
   8.000e+01   2.750e-14
   1.050e+02   8.189e-14
   1.300e+02   8.189e-14
   1.550e+02   8.189e-14
   1.800e+02   8.189e-14
   2.050e+02   8.338e-14
   2.300e+02   8.338e-14
   2.550e+02   8.338e-14
   2.800e+02   8.338e-14
   3.050e+02   8.035e-14
   3.300e+02   8.035e-14
   3.550e+02   8.035e-14
   3.800e+02   8.035e-14
   4.050e+02   7.168e-15
   4.300e+02   7.168e-15
   4.550e+02   7.168e-15
   4.800e+02   7.168e-15
   5.050e+02   3.108e-14
   5.300e+02   3.108e-14
   5.550e+02   3.108e-14
   5.800e+02   3.108e-14
   6.050e+02   1.600e-14
   6.300e+02   1.600e-14
   6.550e+02   1.600e-14
   6.800e+02   1.600e-14
   7.050e+02   4.175e-14
   7.300e+02   4.175e-14
   7.550e+02   4.175e-14
   7.800e+02   4.175e-14
   8.050e+02   1.000e-13
   8.300e+02   1.000e-13
   8.550e+02   1.000e-13
   8.800e+02   1.000e-13
   9.050e+02   1.000e-13
   9.300e+02   2.902e-14
   9.550e+02   2.902e-14
   9.800e+02   2.902e-14
   1.005e+03   2.902e-14
   1.030e+03   2.902e-14
   1.055e+03   2.902e-14
   1.080e+03   2.902e-14
   1.105e+03   2.902e-14
   1.130e+03   2.902e-14
   1.155e+03   2.902e-14
   1.180e+03   3.829e-16
   1.205e+03   2.206e-15
   1.230e+03   5.042e-15
   1.255e+03   4.108e-15
   1.280e+03   1.459e-15
   1.305e+03   1.878e-13
   1.330e+03   7.765e-15
   1.355e+03   6.097e-15
   1.380e+03   3.964e-15
   1.405e+03   8.246e-15
   1.430e+03   4.889e-15
   1.455e+03   6.497e-15
   1.480e+03   6.219e-15
   1.505e+03   7.896e-15
   1.530e+03   8.518e-15
   1.555e+03   8.883e-15
   1.580e+03   6.200e-15
   1.605e+03   6.231e-15
   1.630e+03   2.059e-14
   1.655e+03   2.043e-14
   1.680e+03   1.097e-14
   1.705e+03   1.613e-14
   1.730e+03   1.183e-14
   1.755e+03   1.268e-14
   1.780e+03   2.068e-14
   1.805e+03   1.510e-14
   1.830e+03   1.350e-14
   1.855e+03   6.086e-14
   1.880e+03   3.561e-14
   1.905e+03   3.324e-14
   1.930e+03   4.214e-14
   1.955e+03   4.673e-14
   1.980e+03   5.909e-14
   2.005e+03   6.792e-14
   2.030e+03   7.203e-14
   2.055e+03   8.657e-14
   2.080e+03   1.065e-13
   2.105e+03   1.671e-13
   2.130e+03   2.135e-13
   2.155e+03   2.226e-13
   2.180e+03   2.239e-13
   2.205e+03   2.961e-13
   2.230e+03   3.465e-13
